goal,indicator_text,indicator_title,info_text,related_topic_text,target_text,target_title
3,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,3.a.1,,,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases",3.3
3,Proportion of the target population covered by all vaccines included in their national programme,3.b.1,,,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases",3.3
3,Total net official development assistance to medical research and basic health sectors,3.b.2,,,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases",3.3
4,"Percentage of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex",4.6.1,,,"By 2030, ensure that all learners acquire the knowledge and skills needed to promote sustainable development, including, among others, through education for sustainable development and sustainable lifestyles, human rights, gender equality, promotion of a culture of peace and non-violence, global citizenship and appreciation of cultural diversity and of culture’s contribution to sustainable development",4.7
4,"Extent to which (i) global citizenship education and (ii) education for sustainable development, including gender equality and human rights, are mainstreamed at all levels in: (a) national education policies, (b) curricula, (c) teacher education and (d) student assessment",4.7.1,,,"By 2030, ensure that all learners acquire the knowledge and skills needed to promote sustainable development, including, among others, through education for sustainable development and sustainable lifestyles, human rights, gender equality, promotion of a culture of peace and non-violence, global citizenship and appreciation of cultural diversity and of culture’s contribution to sustainable development",4.7
6,Degree of integrated water resources management implementation (0-100),6.5.1,,,"By 2030, expand international cooperation and capacity-building support to developing countries in water- and sanitation-related activities and programmes, including water harvesting, desalination, water efficiency, wastewater treatment, recycling and reuse technologies",6.a
6,Proportion of transboundary basin area with an operational arrangement for water cooperation,6.5.2,,,"By 2030, expand international cooperation and capacity-building support to developing countries in water- and sanitation-related activities and programmes, including water harvesting, desalination, water efficiency, wastewater treatment, recycling and reuse technologies",6.a
8,"Unemployment rate, by sex, age and persons with disabilities",8.5.2,,,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",8.5
8,"Proportion of youth (aged 15-24 years) not in education, employment or training",8.6.1,,,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",8.5
8,"Proportion and number of children aged 5‑17 years engaged in child labour, by sex and age",8.7.1,,,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",8.5
1,"Number of deaths, missing persons and persons affected by disaster per 100,000 people",1.5.1,,,"Ensure significant mobilization of resources from a variety of sources, including through enhanced development cooperation, in order to provide adequate and predictable means for developing countries, in particular least developed countries, to implement programmes and policies to end poverty in all its dimensions",1.a
1,Direct disaster economic loss in relation to global gross domestic product (GDP),1.5.2,,,"Ensure significant mobilization of resources from a variety of sources, including through enhanced development cooperation, in order to provide adequate and predictable means for developing countries, in particular least developed countries, to implement programmes and policies to end poverty in all its dimensions",1.a
1,Number of countries with national and local disaster risk reduction strategies,1.5.3,,,"Ensure significant mobilization of resources from a variety of sources, including through enhanced development cooperation, in order to provide adequate and predictable means for developing countries, in particular least developed countries, to implement programmes and policies to end poverty in all its dimensions",1.a
16,Proportion of children aged 1–17 years who experienced any physical punishment and/or psychological aggression by caregivers in the past month,16.2.1,,,Promote the rule of law at the national and international levels and ensure equal access to justice for all,16.3
16,"Number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation",16.2.2,,,Promote the rule of law at the national and international levels and ensure equal access to justice for all,16.3
16,Proportion of young women and men aged 18–29 years who experienced sexual violence by age 18,16.2.3,,,Promote the rule of law at the national and international levels and ensure equal access to justice for all,16.3
17,"Number of countries that adopt and implement investment promotion regimes for developing countries, including the least developed countries",17.5.1,,,"Developed countries to implement fully their official development assistance commitments, including the commitment by many developed countries to achieve the target of 0.7 per cent of ODA/GNI to developing countries and 0.15 to 0.20 per cent of ODA/GNI to least developed countries; ODA providers are encouraged to consider setting a target to provide at least 0.20 per cent of ODA/GNI to least developed countries",17.2
17,"Fixed Internet broadband subscriptions per 100 inhabitants, by speed",17.6.1,,,"Developed countries to implement fully their official development assistance commitments, including the commitment by many developed countries to achieve the target of 0.7 per cent of ODA/GNI to developing countries and 0.15 to 0.20 per cent of ODA/GNI to least developed countries; ODA providers are encouraged to consider setting a target to provide at least 0.20 per cent of ODA/GNI to least developed countries",17.2
15,"Proportion of important sites for terrestrial and freshwater biodiversity that are covered by protected areas, by ecosystem type",15.1.2,,,"By 2030, ensure the conservation of mountain ecosystems, including their biodiversity, in order to enhance their capacity to provide benefits that are essential for sustainable development",15.4
15,Progress towards sustainable forest management,15.2.1,,,"By 2030, ensure the conservation of mountain ecosystems, including their biodiversity, in order to enhance their capacity to provide benefits that are essential for sustainable development",15.4
15,Proportion of land that is degraded over total land area,15.3.1,,,"By 2030, ensure the conservation of mountain ecosystems, including their biodiversity, in order to enhance their capacity to provide benefits that are essential for sustainable development",15.4
14,(a) Index of coastal eutrophication; and (b) plastic debris density,14.1.1,,,"By 2020, prohibit certain forms of fisheries subsidies which contribute to overcapacity and overfishing, eliminate subsidies that contribute to illegal, unreported and unregulated fishing and refrain from introducing new such subsidies, recognizing that appropriate and effective special and differential treatment for developing and least developed countries should be an integral part of the World Trade Organization fisheries subsidies negotiation",14.6
14,Number of countries using ecosystem-based approaches to managing marine areas,14.2.1,,,"By 2020, prohibit certain forms of fisheries subsidies which contribute to overcapacity and overfishing, eliminate subsidies that contribute to illegal, unreported and unregulated fishing and refrain from introducing new such subsidies, recognizing that appropriate and effective special and differential treatment for developing and least developed countries should be an integral part of the World Trade Organization fisheries subsidies negotiation",14.6
12,"Domestic material consumption, domestic material consumption per capita, and domestic material consumption per GDP",12.2.2,,,"Encourage companies, especially large and transnational companies, to adopt sustainable practices and to integrate sustainability information into their reporting cycle",12.6
12,(a) Food loss index and (b) food waste index,12.3.1,,,"Encourage companies, especially large and transnational companies, to adopt sustainable practices and to integrate sustainability information into their reporting cycle",12.6
12,"Number of parties to international multilateral environmental agreements on hazardous waste, and other chemicals that meet their commitments and obligations in transmitting information as required by each relevant agreement",12.4.1,,,"Encourage companies, especially large and transnational companies, to adopt sustainable practices and to integrate sustainability information into their reporting cycle",12.6
10,"Proportion of the population who are refugees, by country of origin",10.7.4,,,Improve the regulation and monitoring of global financial markets and institutions and strengthen the implementation of such regulations,10.5
10,Proportion of tariff lines applied to imports from least developed countries and developing countries with zero-tariff,10.a.1,,,Improve the regulation and monitoring of global financial markets and institutions and strengthen the implementation of such regulations,10.5
9,Manufacturing value added as a proportion of GDP and per capita,9.2.1,,,"Facilitate sustainable and resilient infrastructure development in developing countries through enhanced financial, technological and technical support to African countries, least developed countries, landlocked developing countries and small island developing States",9.a
9,Manufacturing employment as a proportion of total employment,9.2.2,,,"Facilitate sustainable and resilient infrastructure development in developing countries through enhanced financial, technological and technical support to African countries, least developed countries, landlocked developing countries and small island developing States",9.a
9,Proportion of small-scale industries in total industry value added,9.3.1,,,"Facilitate sustainable and resilient infrastructure development in developing countries through enhanced financial, technological and technical support to African countries, least developed countries, landlocked developing countries and small island developing States",9.a
5,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",5.2.1,,,Ensure universal access to sexual and reproductive health and reproductive rights as agreed in accordance with the Programme of Action of the International Conference on Population and Development and the Beijing Platform for Action and the outcome documents of their review conferences,5.6
5,"Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence",5.2.2,,,Ensure universal access to sexual and reproductive health and reproductive rights as agreed in accordance with the Programme of Action of the International Conference on Population and Development and the Beijing Platform for Action and the outcome documents of their review conferences,5.6
11,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",11.7.1,,,"By 2030, significantly reduce the number of deaths and the number of people affected and substantially decrease the direct economic losses relative to global gross domestic product caused by disasters, including water-related disasters, with a focus on protecting the poor and people in vulnerable situations",11.5
11,"Proportion of persons victim of physical or sexual harassment, by sex, age, disability status and place of occurrence, in the previous 12 months",11.7.2,,,"By 2030, significantly reduce the number of deaths and the number of people affected and substantially decrease the direct economic losses relative to global gross domestic product caused by disasters, including water-related disasters, with a focus on protecting the poor and people in vulnerable situations",11.5
2,Number of (a) plant and (b) animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities,2.5.1,,,"By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and international levels, and promote access to and fair and equitable sharing of benefits arising from the utilization of genetic resources and associated traditional knowledge, as internationally agreed",2.5
2,"Proportion of local breeds classified as being at risk, not-at-risk or at unknown level of risk of extinction",2.5.2,,,"By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and international levels, and promote access to and fair and equitable sharing of benefits arising from the utilization of genetic resources and associated traditional knowledge, as internationally agreed",2.5
3,Proportion of health facilities that have a core set of relevant essential medicines available and affordable on a sustainable basis,3.b.3,,,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases",3.3
3,Health worker density and distribution,3.c.1,,,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases",3.3
3,International Health Regulations (IHR) capacity and health emergency preparedness,3.d.1,,,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases",3.3
4,"Proportion of schools offering basic services, by type of service",4.a.1,,,"By 2030, ensure that all learners acquire the knowledge and skills needed to promote sustainable development, including, among others, through education for sustainable development and sustainable lifestyles, human rights, gender equality, promotion of a culture of peace and non-violence, global citizenship and appreciation of cultural diversity and of culture’s contribution to sustainable development",4.7
4,Volume of official development assistance flows for scholarships by sector and type of study,4.b.1,,,"By 2030, ensure that all learners acquire the knowledge and skills needed to promote sustainable development, including, among others, through education for sustainable development and sustainable lifestyles, human rights, gender equality, promotion of a culture of peace and non-violence, global citizenship and appreciation of cultural diversity and of culture’s contribution to sustainable development",4.7
4,"Proportion of teachers with the minimum required qualifications, by education level",4.c.1,,,"By 2030, ensure that all learners acquire the knowledge and skills needed to promote sustainable development, including, among others, through education for sustainable development and sustainable lifestyles, human rights, gender equality, promotion of a culture of peace and non-violence, global citizenship and appreciation of cultural diversity and of culture’s contribution to sustainable development",4.7
6,Change in the extent of water-related ecosystems over time,6.6.1,,,"By 2030, expand international cooperation and capacity-building support to developing countries in water- and sanitation-related activities and programmes, including water harvesting, desalination, water efficiency, wastewater treatment, recycling and reuse technologies",6.a
6,Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan,6.a.1,,,"By 2030, expand international cooperation and capacity-building support to developing countries in water- and sanitation-related activities and programmes, including water harvesting, desalination, water efficiency, wastewater treatment, recycling and reuse technologies",6.a
6,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,6.b.1,,,"By 2030, expand international cooperation and capacity-building support to developing countries in water- and sanitation-related activities and programmes, including water harvesting, desalination, water efficiency, wastewater treatment, recycling and reuse technologies",6.a
8,"Fatal and non-fatal occupational injuries per 100,000 workers, by sex and migrant status",8.8.1,,,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",8.5
8,"Level of national compliance with labour rights (freedom of association and collective bargaining) based on International Labour Organization (ILO) textual sources and national legislation, by sex and migrant status",8.8.2,,,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",8.5
1,Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies,1.5.4,,,"Ensure significant mobilization of resources from a variety of sources, including through enhanced development cooperation, in order to provide adequate and predictable means for developing countries, in particular least developed countries, to implement programmes and policies to end poverty in all its dimensions",1.a
1,Proportion of resources allocated by the government directly to poverty reduction programmes,1.a.1,,,"Ensure significant mobilization of resources from a variety of sources, including through enhanced development cooperation, in order to provide adequate and predictable means for developing countries, in particular least developed countries, to implement programmes and policies to end poverty in all its dimensions",1.a
16,Proportion of victims of violence in the previous 12 months who reported their victimization to competent authorities or other officially recognized conflict resolution mechanisms,16.3.1,,,Promote the rule of law at the national and international levels and ensure equal access to justice for all,16.3
16,Unsentenced detainees as a proportion of overall prison population,16.3.2,,,Promote the rule of law at the national and international levels and ensure equal access to justice for all,16.3
16,"Proportion of the population who have experienced a dispute in the past two years and who accessed a formal or informal dispute resolution mechanism, by type of mechanism",16.3.3,,,Promote the rule of law at the national and international levels and ensure equal access to justice for all,16.3
17,"Total amount of funding for developing countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies",17.7.1,,,"Developed countries to implement fully their official development assistance commitments, including the commitment by many developed countries to achieve the target of 0.7 per cent of ODA/GNI to developing countries and 0.15 to 0.20 per cent of ODA/GNI to least developed countries; ODA providers are encouraged to consider setting a target to provide at least 0.20 per cent of ODA/GNI to least developed countries",17.2
17,Proportion of individuals using the Internet,17.8.1,,,"Developed countries to implement fully their official development assistance commitments, including the commitment by many developed countries to achieve the target of 0.7 per cent of ODA/GNI to developing countries and 0.15 to 0.20 per cent of ODA/GNI to least developed countries; ODA providers are encouraged to consider setting a target to provide at least 0.20 per cent of ODA/GNI to least developed countries",17.2
15,Coverage by protected areas of important sites for mountain biodiversity,15.4.1,,,"By 2030, ensure the conservation of mountain ecosystems, including their biodiversity, in order to enhance their capacity to provide benefits that are essential for sustainable development",15.4
15,Mountain Green Cover Index,15.4.2,,,"By 2030, ensure the conservation of mountain ecosystems, including their biodiversity, in order to enhance their capacity to provide benefits that are essential for sustainable development",15.4
14,Average marine acidity (pH) measured at agreed suite of representative sampling stations,14.3.1,,,"By 2020, prohibit certain forms of fisheries subsidies which contribute to overcapacity and overfishing, eliminate subsidies that contribute to illegal, unreported and unregulated fishing and refrain from introducing new such subsidies, recognizing that appropriate and effective special and differential treatment for developing and least developed countries should be an integral part of the World Trade Organization fisheries subsidies negotiation",14.6
14,Proportion of fish stocks within biologically sustainable levels,14.4.1,,,"By 2020, prohibit certain forms of fisheries subsidies which contribute to overcapacity and overfishing, eliminate subsidies that contribute to illegal, unreported and unregulated fishing and refrain from introducing new such subsidies, recognizing that appropriate and effective special and differential treatment for developing and least developed countries should be an integral part of the World Trade Organization fisheries subsidies negotiation",14.6
14,Coverage of protected areas in relation to marine areas,14.5.1,,,"By 2020, prohibit certain forms of fisheries subsidies which contribute to overcapacity and overfishing, eliminate subsidies that contribute to illegal, unreported and unregulated fishing and refrain from introducing new such subsidies, recognizing that appropriate and effective special and differential treatment for developing and least developed countries should be an integral part of the World Trade Organization fisheries subsidies negotiation",14.6
12,"(a) Hazardous waste generated per capita; and (b) proportion of hazardous waste treated, by type of treatment",12.4.2,,,"Encourage companies, especially large and transnational companies, to adopt sustainable practices and to integrate sustainability information into their reporting cycle",12.6
12,"National recycling rate, tons of material recycled",12.5.1,,,"Encourage companies, especially large and transnational companies, to adopt sustainable practices and to integrate sustainability information into their reporting cycle",12.6
12,Number of companies publishing sustainability reports,12.6.1,,,"Encourage companies, especially large and transnational companies, to adopt sustainable practices and to integrate sustainability information into their reporting cycle",12.6
10,"Total resource flows for development, by recipient and donor countries and type of flow (e.g. official development assistance, foreign direct investment and other flows)",10.b.1,,,Improve the regulation and monitoring of global financial markets and institutions and strengthen the implementation of such regulations,10.5
10,Remittance costs as a proportion of the amount remitted,10.c.1,,,Improve the regulation and monitoring of global financial markets and institutions and strengthen the implementation of such regulations,10.5
9,Proportion of small-scale industries with a loan or line of credit,9.3.2,,,"Facilitate sustainable and resilient infrastructure development in developing countries through enhanced financial, technological and technical support to African countries, least developed countries, landlocked developing countries and small island developing States",9.a
9,CO2 emission per unit of value added,9.4.1,,,"Facilitate sustainable and resilient infrastructure development in developing countries through enhanced financial, technological and technical support to African countries, least developed countries, landlocked developing countries and small island developing States",9.a
5,Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18,5.3.1,,,Ensure universal access to sexual and reproductive health and reproductive rights as agreed in accordance with the Programme of Action of the International Conference on Population and Development and the Beijing Platform for Action and the outcome documents of their review conferences,5.6
5,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",5.3.2,,,Ensure universal access to sexual and reproductive health and reproductive rights as agreed in accordance with the Programme of Action of the International Conference on Population and Development and the Beijing Platform for Action and the outcome documents of their review conferences,5.6
5,"Proportion of time spent on unpaid domestic and care work, by sex, age and location",5.4.1,,,Ensure universal access to sexual and reproductive health and reproductive rights as agreed in accordance with the Programme of Action of the International Conference on Population and Development and the Beijing Platform for Action and the outcome documents of their review conferences,5.6
11,Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space,11.a.1,,,"By 2030, significantly reduce the number of deaths and the number of people affected and substantially decrease the direct economic losses relative to global gross domestic product caused by disasters, including water-related disasters, with a focus on protecting the poor and people in vulnerable situations",11.5
11,Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015–2030,11.b.1,,,"By 2030, significantly reduce the number of deaths and the number of people affected and substantially decrease the direct economic losses relative to global gross domestic product caused by disasters, including water-related disasters, with a focus on protecting the poor and people in vulnerable situations",11.5
11,Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies,11.b.2,,,"By 2030, significantly reduce the number of deaths and the number of people affected and substantially decrease the direct economic losses relative to global gross domestic product caused by disasters, including water-related disasters, with a focus on protecting the poor and people in vulnerable situations",11.5
2,The agriculture orientation index for government expenditures,2.a.1,,,"By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and international levels, and promote access to and fair and equitable sharing of benefits arising from the utilization of genetic resources and associated traditional knowledge, as internationally agreed",2.5
2,Total official flows (official development assistance plus other official flows) to the agriculture sector,2.a.2,,,"By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and international levels, and promote access to and fair and equitable sharing of benefits arising from the utilization of genetic resources and associated traditional knowledge, as internationally agreed",2.5
2,Agricultural export subsidies,2.b.1,,,"By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and international levels, and promote access to and fair and equitable sharing of benefits arising from the utilization of genetic resources and associated traditional knowledge, as internationally agreed",2.5
3,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,,,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases",3.3
3,Maternal mortality ratio,3.1.1,,,"By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being",3.4
4,"Proportion of children and young people: (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",4.1.1,,,"Build and upgrade education facilities that are child, disability and gender sensitive and provide safe, non-violent, inclusive and effective learning environments for all",4.a
4,"Completion rate (primary education, lower secondary education, upper secondary education)",4.1.2,,,"Build and upgrade education facilities that are child, disability and gender sensitive and provide safe, non-violent, inclusive and effective learning environments for all",4.a
6,Proportion of population using safely managed drinking water services,6.1.1,,,Support and strengthen the participation of local communities in improving water and sanitation management,6.b
6,"Proportion of population using safely managed sanitation services, including a hand-washing facility with soap and water",6.2.1,,,Support and strengthen the participation of local communities in improving water and sanitation management,6.b
8,Tourism direct GDP as a proportion of total GDP and in growth rate,8.9.1,,,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",8.5
8,"Number of commercial bank branches and automated teller machines (ATMs) per 100,000 adults",8.10.1,,,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",8.5
1,"Proportion of total government spending on essential services (education, health and social protection)",1.a.2,,,"Ensure significant mobilization of resources from a variety of sources, including through enhanced development cooperation, in order to provide adequate and predictable means for developing countries, in particular least developed countries, to implement programmes and policies to end poverty in all its dimensions",1.a
1,"Proportion of government recurrent and capital spending to sectors that disproportionately benefit women, the poor and vulnerable groups",1.b.1,,,"Ensure significant mobilization of resources from a variety of sources, including through enhanced development cooperation, in order to provide adequate and predictable means for developing countries, in particular least developed countries, to implement programmes and policies to end poverty in all its dimensions",1.a
16,Total value of inward and outward illicit financial flows (in current United States dollars),16.4.1,,,Promote the rule of law at the national and international levels and ensure equal access to justice for all,16.3
16,"Proportion of seized, found or surrendered arms whose illicit origin or context has been traced or established by a competent authority in line with international instruments",16.4.2,,,Promote the rule of law at the national and international levels and ensure equal access to justice for all,16.3
16,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months",16.5.1,,,Promote the rule of law at the national and international levels and ensure equal access to justice for all,16.3
17,"Dollar value of financial and technical assistance (including through North-South, South‑South and triangular cooperation) committed to developing countries",17.9.1,,,"Developed countries to implement fully their official development assistance commitments, including the commitment by many developed countries to achieve the target of 0.7 per cent of ODA/GNI to developing countries and 0.15 to 0.20 per cent of ODA/GNI to least developed countries; ODA providers are encouraged to consider setting a target to provide at least 0.20 per cent of ODA/GNI to least developed countries",17.2
17,Worldwide weighted tariff-average,17.10.1,,,"Developed countries to implement fully their official development assistance commitments, including the commitment by many developed countries to achieve the target of 0.7 per cent of ODA/GNI to developing countries and 0.15 to 0.20 per cent of ODA/GNI to least developed countries; ODA providers are encouraged to consider setting a target to provide at least 0.20 per cent of ODA/GNI to least developed countries",17.2
15,Red List Index,15.5.1,,,"By 2030, ensure the conservation of mountain ecosystems, including their biodiversity, in order to enhance their capacity to provide benefits that are essential for sustainable development",15.4
15,"Number of countries that have adopted legislative, administrative and policy frameworks to ensure fair and equitable sharing of benefits",15.6.1,,,"By 2030, ensure the conservation of mountain ecosystems, including their biodiversity, in order to enhance their capacity to provide benefits that are essential for sustainable development",15.4
15,Proportion of traded wildlife that was poached or illicitly trafficked,15.7.1,,,"By 2030, ensure the conservation of mountain ecosystems, including their biodiversity, in order to enhance their capacity to provide benefits that are essential for sustainable development",15.4
14,"Degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing",14.6.1,,,"By 2020, prohibit certain forms of fisheries subsidies which contribute to overcapacity and overfishing, eliminate subsidies that contribute to illegal, unreported and unregulated fishing and refrain from introducing new such subsidies, recognizing that appropriate and effective special and differential treatment for developing and least developed countries should be an integral part of the World Trade Organization fisheries subsidies negotiation",14.6
14,"Sustainable fisheries as a proportion of GDP in small island developing States, least developed countries and all countries",14.7.1,,,"By 2020, prohibit certain forms of fisheries subsidies which contribute to overcapacity and overfishing, eliminate subsidies that contribute to illegal, unreported and unregulated fishing and refrain from introducing new such subsidies, recognizing that appropriate and effective special and differential treatment for developing and least developed countries should be an integral part of the World Trade Organization fisheries subsidies negotiation",14.6
12,Degree of sustainable public procurement policies and action plan implementation,12.7.1,,,"Encourage companies, especially large and transnational companies, to adopt sustainable practices and to integrate sustainability information into their reporting cycle",12.6
12,Extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in (a) national education policies; (b) curricula; (c) teacher education; and (d) student assessment,12.8.1,,,"Encourage companies, especially large and transnational companies, to adopt sustainable practices and to integrate sustainability information into their reporting cycle",12.6
12,Installed renewable energy-generating capacity in developing countries (in watts per capita),12.a.1,,,"Encourage companies, especially large and transnational companies, to adopt sustainable practices and to integrate sustainability information into their reporting cycle",12.6
10,Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population,10.1.1,,,"Ensure enhanced representation and voice for developing countries in decision-making in global international economic and financial institutions in order to deliver more effective, credible, accountable and legitimate institutions",10.6
10,"Proportion of people living below 50 per cent of median income, by age, sex and persons with disabilities",10.2.1,,,"Ensure enhanced representation and voice for developing countries in decision-making in global international economic and financial institutions in order to deliver more effective, credible, accountable and legitimate institutions",10.6
9,Research and development expenditure as a proportion of GDP,9.5.1,,,"Facilitate sustainable and resilient infrastructure development in developing countries through enhanced financial, technological and technical support to African countries, least developed countries, landlocked developing countries and small island developing States",9.a
9,Researchers (in full-time equivalent) per million inhabitants,9.5.2,,,"Facilitate sustainable and resilient infrastructure development in developing countries through enhanced financial, technological and technical support to African countries, least developed countries, landlocked developing countries and small island developing States",9.a
9,Total official international support (official development assistance plus other official flows) to infrastructure,9.a.1,,,"Facilitate sustainable and resilient infrastructure development in developing countries through enhanced financial, technological and technical support to African countries, least developed countries, landlocked developing countries and small island developing States",9.a
5,Proportion of seats held by women in (a) national parliaments and (b) local governments,5.5.1,,,Ensure universal access to sexual and reproductive health and reproductive rights as agreed in accordance with the Programme of Action of the International Conference on Population and Development and the Beijing Platform for Action and the outcome documents of their review conferences,5.6
5,Proportion of women in managerial positions,5.5.2,,,Ensure universal access to sexual and reproductive health and reproductive rights as agreed in accordance with the Programme of Action of the International Conference on Population and Development and the Beijing Platform for Action and the outcome documents of their review conferences,5.6
11,"Proportion of urban population living in slums, informal settlements or inadequate housing",11.1.1,,,"By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management",11.6
11,"Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities",11.2.1,,,"By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management",11.6
2,Indicator of food price anomalies,2.c.1,,,"By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and international levels, and promote access to and fair and equitable sharing of benefits arising from the utilization of genetic resources and associated traditional knowledge, as internationally agreed",2.5
2,Prevalence of undernourishment,2.1.1,,,"Increase investment, including through enhanced international cooperation, in rural infrastructure, agricultural research and extension services, technology development and plant and livestock gene banks in order to enhance agricultural productive capacity in developing countries, in particular least developed countries",2.a
3,Proportion of births attended by skilled health personnel,3.1.2,,,"By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being",3.4
3,Under-five mortality rate,3.2.1,,,"By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being",3.4
3,Neonatal mortality rate,3.2.2,,,"By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being",3.4
4,"Proportion of children aged 24–59 months who are developmentally on track in health, learning and psychosocial well-being, by sex",4.2.1,,,"Build and upgrade education facilities that are child, disability and gender sensitive and provide safe, non-violent, inclusive and effective learning environments for all",4.a
4,"Participation rate in organized learning (one year before the official primary entry age), by sex",4.2.2,,,"Build and upgrade education facilities that are child, disability and gender sensitive and provide safe, non-violent, inclusive and effective learning environments for all",4.a
4,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",4.3.1,,,"Build and upgrade education facilities that are child, disability and gender sensitive and provide safe, non-violent, inclusive and effective learning environments for all",4.a
6,Proportion of domestic and industrial wastewater flows safely treated,6.3.1,,,Support and strengthen the participation of local communities in improving water and sanitation management,6.b
6,Proportion of bodies of water with good ambient water quality,6.3.2,,,Support and strengthen the participation of local communities in improving water and sanitation management,6.b
6,Change in water-use efficiency over time,6.4.1,,,Support and strengthen the participation of local communities in improving water and sanitation management,6.b
8,Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,8.10.2,,,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",8.5
8,Aid for Trade commitments and disbursements,8.a.1,,,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",8.5
